"Robots Tag","Robots Tag"
"Add Breadcrumb","Breadcrumb-Eintrag anzeigen"
"Redirect if disabled","Umleiten, wenn deaktiviert"
"When a category or a product is disabled redirect to former parent category.","Deaktivierte Kategorien oder Produkte auf ehem. Elternkategorie umleiten."
"Search Engine Settings","Einstellungen für Suchmaschine"
"Robots Tag for Customer Area","Robots-Tag für Kundenbereich"
"Blacklist Category IDs","Ausgeschlossene Kategorie-IDs"
"When checking for a redirect ignore these category ids (comma-separated).","Wenn nach der Elternkategorie gesucht wird, diese Kategorie-IDs ignorieren (komma-getrennt)."
"Meta title max length","Meta-Title Maximallänge"
"Truncate meta titles of categories and products that are longer than this value.","Der Meta-Title von Kategorien und Produkten wird nach dieser Anzahl Zeichen abgeschnitten."
"Default Category Meta Titles","Standard Kategorie Meta-Titel"
"Default Category Meta Descriptions","Standard Kategorie Meta-Beschreibungen"
"Default Product Meta Titles","Standard Produkt Meta-Titel"
"Default Product Meta Descriptions","Standard Produkt Meta-Beschreibungen"
"When category has no meta title, use one of these phrases instead. One phrase per line. Use {{category_name}} as placeholder for the category name.","Hat eine Kategorie keinen Meta-Title wird eine dieser Phrasen verwendet. Eine Phrase pro Zeile. {{category_name}} als Platzhalter für den Kategorienamen verwenden."
"When category has no meta description, use one of these phrases instead. One phrase per line. Use {{category_name}} as placeholder for the category name.","Hat eine Kategorie keine Meta-Description wird eine dieser Phrasen verwendet. Eine Phrase pro Zeile. {{category_name}} als Platzhalter für den Kategorienamen verwenden."
"When product has no meta title, use one of these phrases instead. One phrase per line. Use {{product_name}} as placeholder for the product name.","Hat ein Produkt keinen Meta-Title wird eine dieser Phrasen verwendet. Eine Phrase pro Zeile. {{product_name}} als Platzhalter für den Produktnamen verwenden."
"When product has no meta description, use one of these phrases instead. One phrase per line. Use {{product_name}} as placeholder for the product name.","Hat ein Produkt keine Meta-Description wird eine dieser Phrasen verwendet. Eine Phrase pro Zeile. {{product_name}} als Platzhalter für den Produktnamen verwenden."
"This content is rendered when http://domain.com/robots.txt is accessed. Magento short-codes, e.g. <strong>{{store direct_url=""""""}}</strong>, are available.","Dieser Inhalt wird angezeigt, wenn http(s)://domain.com/robots.txt aufgerufen wird. Magento Short-Codes, z.B. <strong>{{store direct_url=""""""}}</strong>, sind verfügbar."
